evento,frequenza,E_hat_L_cond,sd_L_cond,prob_L_gt_ell_cond,q05_L_cond,q50_L_cond,q95_L_cond,frequenza_relativa,descrizione,E_L_cond_teorica,ordine_atteso
A1,17418,-57804.18736968874,240046.5637839009,0.009472959007922839,-453306.60389069223,-57893.65148612572,335173.9623052732,0.34836,Disinflazione ordinata,-60000.0,1
A2,22576,181993.39718483502,361850.1118751901,0.18989192062367116,-410844.50495319103,182727.8004520294,780939.7373568146,0.45152,Inflazione persistente,180000.0,2
A3,10006,605230.726541648,596656.2144081849,0.5719568259044573,-379016.1846786544,608310.1780845226,1580255.6701950436,0.20012,Repricing severo,600000.0,3
