evento,numerosita,media_delta_y_empirica,sd_delta_y_empirica,media_delta_y_bp,sd_delta_y_bp,mu_g,sigma_g,mu_g_bp,sigma_g_bp,scarto_media,scarto_sd
A1,17418,-0.0009634031228281458,0.004000776063065006,-9.634031228281458,40.00776063065027,-0.001,0.004,-10.0,40.0,3.659687717185421e-05,7.7606306500555e-07
A2,22576,0.0030332232864139167,0.006030835197919853,30.33223286413917,60.30835197919842,0.003,0.006,30.0,60.0,3.322328641391665e-05,3.083519791985314e-05
A3,10006,0.010087178775694134,0.009944270240136457,100.87178775694133,99.44270240136464,0.01,0.01,100.0,100.0,8.717877569413418e-05,-5.572975986354277e-05
